StateAb,Affiliation,DrivAge,ExposTotal,SumInsAvg
SP,1,36-45,10.36,42746.69
SP,1,36-45,2.52,31514.62
SP,1,36-45,0.44,60050.06
SP,1,46-55,0.43,37309.55
SP,1,26-35,3.45,35385.32
SP,1,36-45,1.02,83243.82
SP,1,>55,1.01,59919.23
SP,1,46-55,5.32,27879.1
SP,1,18-25,4.43,49953.83
SP,1,46-55,18.12,43100.96
SP,1,26-35,0.15,23867.99
TO,0,>55,0.5,12666.99
SP,1,36-45,13.34,28879.86
TO,1,36-45,0.57,35598.32
SP,1,46-55,1.51,20874.69
SP,0,NA,0.08,213193.99
SP,1,36-45,24.92,39749.3
SP,1,18-25,0.23,17020
SP,0,18-25,0.5,164631.04
SP,1,>55,0.7,60754.27
SP,1,36-45,0.19,20679.99
SP,0,NA,3.7,24276.88
SP,1,>55,0.5,43144.41
SP,1,18-25,29.61,18040.69
SP,1,36-45,0.5,21604
SP,NA,>55,0.53,39197.2
SP,0,NA,1.64,25203.06
SP,0,>55,1,67385.99
SP,0,NA,0.4,46250.18
SP,1,46-55,1.85,67610.94
SP,0,26-35,1.51,30441.1
SP,NA,26-35,0.1,12295.99
SP,1,46-55,0.58,49538.35
SP,1,>55,0.5,40661.03
SP,1,36-45,1.25,297462.54
SP,1,>55,5.8,38330.93
SP,1,>55,2.09,151550.23
SP,0,NA,0.38,44114.04
SP,1,>55,1.01,25898.7
SP,1,36-45,0.99,15737.74
SP,1,26-35,0.19,35196.99
SP,0,36-45,0.5,49862.57
SP,0,>55,0.5,221249.44
SP,1,26-35,0.38,28681
SP,0,NA,1.29,12446.01
SP,1,26-35,37.69,32876.41
SP,1,26-35,1,438021.99
SP,1,26-35,0.95,41965.01
SP,1,46-55,0.5,17134.99
SP,1,26-35,0.91,74323.83
SP,1,46-55,0.83,98341.3
SP,1,>55,1.88,41429.13
SP,1,36-45,0.73,36302.01
SP,1,46-55,0.44,25358.99
SP,1,>55,1.93,1951.87
SP,1,26-35,2.29,10827.17
SP,0,NA,0.27,106995.39
SP,1,36-45,1.65,12600.8
TO,1,36-45,0.35,57325
SP,1,36-45,0.43,11063.99
SP,1,18-25,30.59,24633.12
SP,1,26-35,1.81,25864.38
SP,1,46-55,1.01,30098.79
SP,0,NA,4.39,67368.11
SP,NA,36-45,0.02,45796
SP,1,46-55,0.6,29265.18
SP,NA,NA,0,0
SP,1,46-55,1.56,9966.31
SP,NA,NA,0,0
SP,1,>55,4.52,19007.84
SP,1,26-35,0.06,129388.99
SP,0,NA,0.05,94070.99
SP,1,46-55,0.08,11669
SP,0,NA,0.14,54100
SP,0,NA,6.81,38739.98
SP,0,46-55,0.5,9041
SP,1,36-45,0.3,0
SP,0,18-25,0.54,53624.23
SP,NA,36-45,0.5,34990.58
SP,1,36-45,1.01,6826.57
SP,1,36-45,9.62,39463.73
SP,1,26-35,7.01,68658.18
SP,0,36-45,11.86,38674.57
SP,1,26-35,0.43,20645
SP,1,>55,0.48,16976
SP,1,18-25,2.15,6486.23
SP,1,26-35,11.35,26917.6
SP,1,>55,2.46,9469.16
SP,1,36-45,0.69,12926.54
SP,1,>55,0.5,75757.32
SP,1,>55,3.03,22526.15
SP,1,>55,2.52,22758.31
SP,1,36-45,4.47,11615.53
SP,1,>55,32.78,11580.46
SP,1,26-35,0.5,7843.99
SP,1,>55,27.53,16408.09
SP,1,>55,12.52,31327.07
SP,1,>55,0.27,15505
SP,1,>55,15.39,26506.47
SP,1,>55,8.27,15294.48
SP,1,18-25,0.15,0
SP,1,36-45,0.08,76957
SP,NA,>55,0.5,47307.39
SP,NA,NA,0.5,29901.4
SP,1,18-25,0.5,35953
SP,1,18-25,1.12,39778.34
SP,1,46-55,0.74,15624.36
SP,1,26-35,1.74,2606.94
SP,1,36-45,3.65,52552.09
SP,1,46-55,9.44,16960.43
SP,1,46-55,0.2,18958.99
SP,0,NA,0.09,37251
SP,0,NA,4.89,66869.13
TO,1,>55,0.5,64285
SP,1,26-35,0.96,17142.04
SP,0,NA,4.04,193543.55
SP,1,>55,1,54406.5
SP,1,46-55,2.81,41554.19
SP,1,26-35,0.26,32463.99
SP,1,36-45,7.34,35224.88
TO,1,46-55,0.49,0
SP,1,26-35,0.77,32329.81
SP,0,NA,0.68,42331.08
SP,1,18-25,0.21,15174
SP,0,18-25,0.5,34959.99
SP,1,26-35,2.18,14860.54
SP,0,18-25,0.43,62119.99
SP,0,NA,2.03,45311.32
SP,1,18-25,0.07,25612.99
SP,1,26-35,0.93,43476.24
SP,1,26-35,6.76,20934.64
SP,0,26-35,0.52,44073.95
SP,1,>55,1.01,7179.36
SP,1,36-45,0.41,19636.99
SP,0,46-55,0.18,124149
SP,1,>55,1.01,5124.59
SP,1,26-35,0,0
SP,1,>55,0.21,59513
SP,1,26-35,2.88,30060.71
SP,1,36-45,0.81,43981.28
SP,0,26-35,0.5,16888.99
SP,1,36-45,0.33,34559.99
SP,1,46-55,2.98,118449.74
SP,1,>55,0.5,36341.87
SP,1,>55,0.19,200524
SP,0,46-55,5.84,31592.68
SP,0,26-35,1,13102.86
SP,0,NA,0.5,217936
TO,0,NA,0.79,27269.11
SP,1,36-45,8.48,20827.65
SP,1,36-45,1.11,35116.35
SP,1,18-25,0.27,62908.99
SP,0,46-55,2.71,15944.97
SP,NA,NA,1.07,30725.64
SP,1,>55,0.37,19398
SP,0,NA,2.93,64040.32
SP,1,46-55,0.5,70149.99
SP,1,>55,2.99,21223.09
SP,0,NA,0.21,42014.99
SP,1,>55,159.04,26241.68
SP,0,NA,9.79,37797.36
SP,1,26-35,0.16,115409.93
SP,1,26-35,38.34,38811.77
SP,1,>55,2.62,67527.44
SP,1,26-35,0.71,20298.96
SP,1,36-45,0.5,158542
SP,1,26-35,0.22,26340.99
SP,1,>55,25.73,22149.5
SP,0,NA,2.87,38320.84
SP,1,36-45,0.47,27494
SP,0,NA,1.46,25969.91
SP,1,46-55,0.13,43240.99
SP,1,46-55,1.46,36699.4
SP,1,>55,0.5,25557.5
SP,1,26-35,0.43,25125.99
SP,1,46-55,4.84,27272.55
SP,1,>55,3.51,10959.6
SP,1,>55,0.11,12303
SP,1,>55,14.75,45112.21
SP,1,46-55,1.97,54547.88
SP,1,36-45,8.63,76847.24
SP,1,46-55,3.06,9147.71
SP,1,26-35,2.29,17521.19
SP,1,18-25,0.46,28755
SP,1,>55,1.38,34370.4
SP,0,NA,8.65,70493.05
SP,0,NA,0.31,0
SP,1,36-45,0.55,35229.84
SP,1,>55,0.35,19436.99
SP,1,26-35,0.84,53426.02
SP,0,NA,0.65,34422.99
SP,0,26-35,0.2,38949.99
SP,1,46-55,9.8,19909.26
SP,1,>55,22.32,46791.17
SP,0,NA,1,19995.5
SP,1,46-55,3.93,11784.57
SP,1,18-25,1.24,28371
SP,1,>55,7.81,19825.15
SP,0,36-45,1.32,43798.76
SP,1,46-55,26.14,9624.96
SP,1,36-45,0.03,36695.99
SP,NA,36-45,0.11,21275.99
SP,1,36-45,4.5,29785.17
SP,1,>55,0.15,42355
SP,1,36-45,0.35,12391
SP,1,NA,0,0
SP,1,NA,0.5,33813
SP,0,46-55,0.65,18122.55
SP,1,36-45,0.52,64447.52
SP,1,>55,1,63787
SP,1,26-35,4.42,30843.35
SP,1,36-45,3.94,50503.72
SP,1,46-55,0.23,162175.99
SP,1,36-45,1,33125
SP,0,NA,0.29,30243.89
SP,1,>55,3.53,60248.99
SP,0,NA,0.81,40283.89
SP,NA,NA,0.3,138883.99
SP,1,36-45,2.9,29752.49
SP,1,>55,0.54,56495.11
SP,1,46-55,90.5,34717.76
SP,1,46-55,3.95,10610.55
SP,1,>55,5.24,6624.96
SP,1,>55,4.23,5554.82
SP,0,36-45,0.16,110451.93
SP,1,>55,1.01,19261.92
SP,0,NA,1.75,24191.96
SP,1,26-35,7.51,35380.79
SP,1,26-35,2.29,46027.99
SP,0,NA,22.16,36854.69
SP,1,>55,13.66,18271.41
SP,0,NA,1.19,26006.39
SP,1,36-45,36.08,37378.43
SP,1,>55,0.7,116296.65
SP,1,26-35,6.53,25587.84
SP,1,26-35,0.25,27130.99
SP,1,>55,0.5,39236.71
SP,0,36-45,0.61,19108.37
SP,1,46-55,0.46,20684.99
SP,0,26-35,0.5,18191.99
SP,0,NA,8.29,49135.28
SP,1,>55,1.01,40853.25
SP,1,>55,30.95,19345.23
SP,1,26-35,1.57,20576.02
SP,1,>55,0.77,34710.23
TO,1,46-55,0.16,106199.99
SP,1,36-45,0.14,103224.03
SP,0,NA,0.5,110999.99
SP,1,>55,0.5,0
SP,1,>55,0.5,15545.37
SP,1,36-45,1.08,26873.11
SP,1,26-35,1.45,39613.19
SP,1,18-25,0.01,210465.99
SP,1,36-45,0.48,46397
SP,1,>55,1.25,59259.7
SP,1,46-55,0.5,16524.99
SP,1,36-45,0.5,110108
SP,1,NA,0,0
SP,0,NA,0.19,41387
SP,1,>55,5.63,17350.88
SP,1,>55,4.42,9785.8
SP,0,NA,7.89,30581.82
SP,1,26-35,0.44,154837.99
SP,1,46-55,1.51,28190.55
SP,1,>55,0.72,21096.97
SP,1,36-45,0.29,102259.99
SP,1,>55,1.09,33490.27
SP,1,36-45,0.29,79736
SP,1,>55,2.65,60228.31
SP,1,36-45,1.42,17610.43
SP,1,18-25,0.85,5726.69
SP,0,NA,7.68,14807.36
SP,1,>55,0.3,33754
SP,1,>55,0.5,34228.94
SP,1,>55,0.5,36591.93
SP,0,NA,0.79,10406.66
SP,0,26-35,0.86,21297.62
SP,1,36-45,11.1,57720.22
SP,1,18-25,10.28,30580.7
SP,1,46-55,0.18,132079
SP,1,26-35,2.09,29742.25
SP,1,>55,4.33,18148.42
SP,1,36-45,0.5,10230.99
SP,1,>55,47.78,7924.66
SP,0,NA,0.8,34907.65
SP,0,NA,0.5,5588.88
SP,0,NA,0.18,160989.99
SP,1,>55,12.18,13080.78
SP,1,46-55,3.59,34709.95
SP,1,46-55,4.01,5392.8
SP,NA,46-55,1.86,25731.3
SP,1,46-55,2.96,24404.25
SP,1,>55,10.4,6478.42
SP,NA,NA,0,0
SP,1,36-45,2.47,12220.84
SP,0,26-35,0.5,89363.85
SP,1,36-45,0.28,16462.99
SP,0,36-45,1.01,31676.58
SP,1,18-25,0.5,18112
SP,1,36-45,25.04,75119.72
SP,1,>55,1.02,59493.25
SP,1,18-25,0.36,18758.33
SP,0,18-25,0.4,70754.99
TO,1,>55,1.51,100855.83
SP,1,36-45,0.94,27987.46
SP,1,>55,0.03,0
SP,1,26-35,8.41,25032.48
SP,1,46-55,0.03,5702.99
SP,1,36-45,0.04,55512.99
SP,0,NA,0.16,79553
SP,1,36-45,0.5,14968.32
SP,0,>55,1.22,30652.06
SP,0,36-45,0.5,70472
SP,1,36-45,1.86,13685.36
SP,1,26-35,0.96,38410.66
SP,1,46-55,0.25,7988.99
SP,1,46-55,0.58,12222.29
SP,1,36-45,0.98,24596.68
SP,1,36-45,0.5,35473.6
SP,1,26-35,0.27,48488.99
SP,0,NA,0.44,28250
SP,1,26-35,0.5,16727.89
SP,1,>55,0.21,52571.29
SP,1,36-45,0.06,45415
SP,0,46-55,0.26,36636
SP,1,>55,0.5,14928
SP,0,>55,0.4,28583.99
SP,1,36-45,0.5,8227.88
SP,1,>55,0.94,50507.16
SP,1,>55,25.18,33714.42
SP,0,NA,0.11,46221.99
SP,1,>55,5.77,15186.38
SP,1,46-55,0.1,39099.99
SP,1,>55,0.5,65869.24
SP,1,46-55,3.02,46446.79
SP,0,26-35,0.5,42499.99
SP,1,>55,0.48,27378.06
SP,0,NA,0.7,30430.93
SP,NA,36-45,0,0
SP,0,36-45,1.96,29652.68
SP,1,26-35,0.55,1578.28
SP,1,46-55,0.89,19060.96
SP,1,36-45,3.19,26452.25
SP,1,26-35,16.87,37531.68
SP,0,46-55,1,23293.5
SP,0,36-45,0.5,14474.99
SP,1,>55,1.01,5066.53
SP,1,46-55,0.5,14679.99
SP,1,>55,0.64,18584.63
SP,1,18-25,1.83,9111.18
SP,1,26-35,0.58,26721.95
SP,1,>55,0.37,55869.99
SP,0,26-35,1,32005.99
SP,1,26-35,0.2,24108
SP,1,26-35,0.12,16019
SP,1,36-45,6.03,41238.72
SP,1,26-35,7.26,66392.53
SP,1,>55,0.5,15697.99
SP,NA,>55,0.5,146488.67
TO,1,36-45,0.5,22543.99
SP,1,36-45,27.53,25031.57
SP,1,>55,1.82,44997.1
SP,0,NA,0.22,45728.73
SP,0,36-45,4.39,26364.93
SP,0,>55,0.84,36394
SP,1,>55,0.5,0
SP,1,46-55,0.98,8431
SP,NA,26-35,0.08,26478.99
SP,1,36-45,2.9,15754.1
SP,1,18-25,0.23,53821.99
SP,1,46-55,1.51,65006.4
SP,1,NA,0,0
SP,1,46-55,4.13,60161.7
SP,1,>55,2.5,23803.19
SP,1,18-25,8,25334.95
SP,1,>55,0.49,34623.99
SP,1,46-55,2.84,32819.68
SP,0,NA,0.19,38481
SP,1,>55,2.56,38038.45
SP,1,46-55,2.01,4350.49
SP,1,>55,14.63,34393.47
SP,1,>55,10.04,26709.11
SP,0,18-25,0.5,173953.19
SP,1,46-55,0.5,6932
SP,NA,NA,2.23,105057.48
SP,0,NA,5.22,62959.45
SP,1,26-35,6.9,25416.97
TO,0,36-45,0.06,16629.99
SP,1,36-45,5.3,33406.96
SP,1,46-55,1.35,28305.56
SP,1,26-35,0.23,10283.99
SP,0,NA,1,28508.99
SP,0,NA,160.95,30604.74
SP,0,36-45,0.24,45312
SP,1,18-25,3.1,35923.97
SP,1,26-35,12.65,31999.87
SP,1,36-45,0.13,45694.99
SP,1,36-45,6.98,35293.84
SP,1,26-35,0.91,29482.38
SP,1,26-35,1.01,41008.02
SP,1,26-35,5.32,29441.46
SP,1,36-45,0.12,136698.8
SP,1,>55,6.28,34990.64
SP,1,46-55,5.31,25758.29
SP,1,36-45,0.33,57863
SP,1,36-45,0.32,46303.02
SP,1,46-55,0.52,4381.87
SP,NA,18-25,0,0
SP,1,36-45,20.41,10985.32
TO,1,46-55,1.34,18480.77
SP,1,36-45,16.63,27071.83
SP,1,46-55,1.4,3596.64
SP,1,>55,0.66,10408.51
SP,0,>55,2.01,110940.25
SP,1,>55,1.22,24119.9
SP,0,NA,3.38,27536.36
SP,1,46-55,18.96,27618.07
SP,1,26-35,1,13734.5
SP,1,>55,0.42,106202
SP,1,>55,0.5,19241.78
SP,1,46-55,0.5,25209.99
SP,1,36-45,5.62,11630.87
SP,0,NA,3,41196.31
SP,1,18-25,2.31,41150.82
SP,1,>55,4.3,28375.49
SP,0,NA,1.88,24507.99
SP,1,>55,4.08,32664.4
SP,1,36-45,1.59,7500.97
SP,0,26-35,0.06,54732
SP,0,NA,1.45,7743.79
SP,1,46-55,3.52,23626.15
SP,0,NA,0.5,0
SP,1,46-55,0.85,11019.78
SP,1,>55,8.55,20049.32
SP,1,36-45,0.23,64546.99
SP,1,36-45,0.77,9328.45
SP,1,>55,3.02,24807.85
SP,0,NA,0.5,59342
SP,1,36-45,2.46,59732.02
SP,1,26-35,0.46,47908
SP,1,18-25,0.82,10923.97
SP,1,26-35,0.5,25420.09
SP,NA,36-45,1,60065.13
SP,0,NA,5.96,22793.76
SP,0,NA,54.96,29599.01
SP,1,36-45,0.12,129636
SP,1,46-55,0.33,37418.99
SP,1,26-35,0.5,79026.99
SP,1,26-35,0.32,14495.99
SP,1,46-55,8.62,41788.45
SP,1,46-55,8.57,16233.37
SP,1,46-55,9.73,17152.41
SP,1,18-25,0.94,28809.57
SP,1,>55,6.25,21193.43
SP,1,46-55,1,4865.99
SP,1,26-35,6.36,17536.95
SP,1,46-55,24.99,25999.31
SP,1,>55,1.18,28861.09
SP,1,46-55,0.02,7181
SP,1,46-55,0.26,59999.99
SP,1,26-35,0.68,87108.67
SP,NA,46-55,0.5,39769.69
SP,1,26-35,0.27,8026.3
SP,0,NA,0.5,26978
SP,1,26-35,0.06,42172
SP,1,46-55,0.49,30000
SP,1,26-35,0.29,16841.99
SP,0,NA,3.09,10202.47
SP,0,46-55,0.59,132393.01
SP,0,NA,1.01,27915.86
SP,1,26-35,0.5,29496
SP,1,46-55,11.9,25821.08
SP,NA,>55,1,20540.49
SP,1,46-55,3.72,120628.25
TO,0,NA,0.76,131787.81
SP,1,26-35,16.95,63411.97
SP,1,46-55,8.6,5902.65
SP,1,26-35,0.85,19952.98
SP,1,26-35,0.5,20885.99
SP,1,>55,0.5,0
SP,NA,NA,0.86,19726.35
SP,1,>55,0.5,7047.99
SP,0,46-55,1.51,16822.33
SP,0,36-45,0.32,0
SP,1,26-35,1,17305
SP,NA,36-45,0.06,77634
SP,0,26-35,0.06,53880
SP,1,>55,2.02,40018.54
SP,1,26-35,3.56,30997.07
SP,1,36-45,1.82,27910.43
SP,1,46-55,21.07,25336.01
SP,0,36-45,8.7,29713.8
SP,1,18-25,0.5,48536.65
SP,0,46-55,0.5,25389
TO,1,26-35,0.64,26108.22
SP,1,>55,23.51,20215.88
SP,1,>55,5.79,21749.39
SP,1,>55,1.84,12903.12
SP,1,26-35,16.41,18804.17
SP,1,46-55,1.69,33722.28
SP,1,36-45,27.1,21646.33
SP,1,>55,4.94,24219.61
SP,0,26-35,1.01,22024.32
SP,1,26-35,2.61,34013.18
SP,0,36-45,0.38,449999.98
SP,1,26-35,1.73,38708.41
SP,1,46-55,0.82,63464.81
SP,1,46-55,0.7,23592.1
SP,1,46-55,5.03,70727.73
SP,1,46-55,0.5,58173.21
SP,1,>55,5.9,14267.61
SP,1,36-45,0.005479452,109547.99
SP,1,36-45,2.33,48220.87
TO,1,18-25,0.1,22428.99
SP,0,NA,0.34,78321
SP,NA,NA,0.5,71512.99
SP,1,26-35,0.37,26636
SP,1,46-55,1.01,23043.66
SP,1,36-45,4.58,41088.16
SP,NA,NA,0,0
SP,1,26-35,0.43,41708
SP,1,36-45,1.45,27077.72
SP,0,NA,2.32,119876.65
SP,1,>55,0.5,31951.24
SP,0,18-25,0.5,53578.99
SP,0,46-55,0.47,109485
SP,1,18-25,1,38671.49
SP,1,18-25,0.7,27064.71
SP,NA,36-45,0.35,26780
SP,1,26-35,0,0
SP,1,36-45,0.5,18917.73
SP,1,26-35,11.23,17138.96
SP,1,36-45,0.5,6232.79
SP,0,26-35,0.5,84253.62
SP,1,26-35,5.52,42152.76
SP,1,46-55,0.07,40633.57
SP,0,46-55,0.31,13242
SP,0,NA,0.45,23887.61
SP,1,>55,6.03,21282.98
SP,1,>55,2.39,1378.37
SP,NA,26-35,0.15,14966
SP,0,NA,3.84,60206.05
SP,1,18-25,7.09,27036.38
SP,0,NA,0.99,22616.16
SP,1,>55,0.11,12369
SP,1,18-25,2.51,27648.95
SP,1,36-45,1.19,10541.2
SP,0,NA,1.54,36164.48
SP,1,>55,1.36,29681.01
SP,0,NA,3.92,4673.5
SP,1,>55,0.5,46885.18
SP,1,18-25,3.84,22984.66
SP,1,26-35,1.01,56815.1
SP,1,26-35,0.19,32999.99
SP,1,36-45,25.33,18068.2
SP,0,18-25,0.5,57826.48
SP,1,36-45,0.7,9853.48
SP,1,>55,1.89,7248.79
SP,1,46-55,0.06,3101
SP,1,46-55,0.5,31787.91
SP,NA,NA,2.52,12572.02
SP,1,26-35,0.5,18305.99
SP,1,18-25,1.9,16081.89
SP,1,>55,1.01,0
SP,1,36-45,16.93,50136.07
SP,0,NA,0.22,28647
SP,0,NA,2.64,10060.83
SP,1,46-55,0.72,15030.72
TO,1,36-45,0.03,14852
SP,NA,26-35,0.09,59265.99
SP,1,>55,1,7387.5
SP,1,46-55,6.88,14387.74
SP,1,26-35,0.49,16869.99
SP,1,>55,0.06,87944.99
SP,NA,36-45,1.84,22589.52
SP,1,36-45,0.07,114844
SP,1,36-45,2.02,30375.39
SP,0,26-35,0.5,43999.99
SP,0,36-45,1.43,25472.29
SP,1,46-55,1.01,151917.29
SP,1,46-55,0.008219178,25118
SP,0,36-45,1.3,32998.41
SP,1,>55,0.48,45702
SP,1,26-35,1.27,42927.05
SP,1,36-45,0.17,35640
SP,1,>55,1.53,23354.31
SP,1,46-55,0.5,6028
SP,1,>55,6.49,13256.88
SP,1,46-55,0.52,37429.43
SP,1,46-55,0.27,170665
SP,1,26-35,0.58,42954.6
SP,1,46-55,1.98,18859.58
SP,0,NA,0.5,76114
SP,1,26-35,0.5,32995
SP,1,>55,5.64,29050.1
SP,0,26-35,2.78,149578.06
SP,1,>55,0.5,52810.99
SP,1,>55,0.5,37023.99
SP,1,26-35,1.12,68204.29
SP,1,26-35,0.5,20701
SP,1,>55,5.33,7705.31
SP,1,46-55,3.3,36280.45
SP,1,46-55,0.5,28247
SP,1,36-45,0.5,70519.99
SP,1,46-55,0.5,11407.99
SP,1,26-35,0.44,88709
SP,0,46-55,0.7,48833.89
SP,1,26-35,0.5,35503
SP,0,NA,0.5,8071.89
SP,0,26-35,1.51,59180.44
SP,1,26-35,4.94,27924.38
SP,1,46-55,0.29,44778.99
SP,1,26-35,0.5,16610.99
SP,0,36-45,22.16,75975.95
SP,NA,26-35,0.12,66944.99
TO,1,26-35,0.09,47306
SP,1,18-25,0.5,56076.99
SP,1,>55,0.49,25206.99
SP,1,36-45,1.92,36371.92
SP,1,26-35,0.35,22785
SP,1,>55,1,18799.5
SP,1,46-55,1.15,38649.79
SP,NA,NA,0,0
SP,1,36-45,3.45,26001.6
SP,1,18-25,0.13,16177.99
SP,NA,36-45,0.36,39821.07
SP,1,36-45,0.9,11208.08
SP,1,36-45,24.89,28284.77
SP,1,>55,0.5,8410
SP,1,>55,0.8,178999.41
SP,1,46-55,23.64,20214.7
SP,1,26-35,0.23,17266
SP,0,18-25,0.02,197999.99
SP,1,26-35,0.5,46622.99
SP,1,46-55,0.13,66181
SP,1,26-35,20.19,33506.26
SP,1,36-45,1.48,59077.75
SP,0,36-45,0.5,17038.66
SP,NA,36-45,0.5,15942.02
SP,1,26-35,4.55,26602.7
SP,1,26-35,0.17,18055
SP,1,46-55,3.35,16656.53
SP,0,NA,0.5,0
SP,1,26-35,24.93,33731.86
SP,1,46-55,0.5,18110.76
SP,1,18-25,0.26,56255
SP,1,26-35,0.84,51442
SP,1,36-45,1.47,90228.57
SP,1,36-45,0.51,27936.27
SP,1,36-45,2.52,47844.59
SP,0,26-35,4.34,39590.87
SP,1,36-45,0.53,63337.99
SP,1,>55,3.41,37913.22
SP,1,36-45,0.79,134234.65
SP,1,>55,0.35,26192.99
SP,1,26-35,1.58,17409.74
SP,0,18-25,0.98,160111.11
SP,1,46-55,0.22,19894.98
SP,1,26-35,0.95,44252.64
SP,0,NA,0.03,135094.28
SP,1,>55,43.79,26649.7
SP,1,>55,1.5,21672.96
SP,1,>55,0.5,12524
SP,0,26-35,0.53,111679.46
SP,1,46-55,0.5,53511.99
SP,1,46-55,1.7,108953.65
SP,NA,NA,1,131119.99
SP,1,26-35,3.64,20657.68
SP,1,46-55,0.5,181260.27
SP,1,46-55,1.92,49356.29
SP,1,46-55,0.5,6479.99
SP,1,36-45,0.5,96048.16
SP,1,>55,0.21,42650
SP,1,46-55,11.03,10480.99
SP,1,36-45,0.6,36210.74
SP,1,46-55,1.02,79115.68
SP,0,NA,1.12,242500.67
SP,0,NA,0.5,13151.95
SP,1,36-45,2.44,48680.98
SP,1,>55,1.51,20400.55
SP,1,46-55,0.5,9489.68
SP,1,36-45,0.5,20877.35
TO,1,26-35,8.18,29295.41
SP,1,46-55,3.03,26361.47
TO,1,46-55,0.12,81116
SP,1,18-25,0.4,26846.99
SP,1,26-35,3.15,38973.1
SP,1,46-55,0.5,42320.99
SP,1,36-45,1.21,43795.02
SP,0,NA,11.71,100211.12
SP,1,36-45,1.78,18928.33
SP,1,46-55,0.17,25835.99
SP,1,46-55,1.25,78277.92
SP,1,>55,0.17,49655.99
SP,1,36-45,0.06,71249.99
SP,1,26-35,0.5,24968.69
SP,1,46-55,3.99,13276.96
SP,1,18-25,0.33,25414.99
SP,1,36-45,0.36,0
SP,0,NA,1.25,26419.4
SP,NA,NA,0,0
SP,0,NA,0.5,11871.99
SP,1,>55,0.5,28046.99
SP,1,>55,1.73,45550.66
SP,1,18-25,0.5,10435
SP,1,26-35,0.5,61260.54
SP,1,26-35,0.5,16463.85
SP,1,36-45,15.92,4720.21
SP,1,26-35,1.2,11400.37
SP,0,18-25,0.6,30795.58
SP,1,36-45,2.37,31765.03
SP,NA,NA,0.16,17050.99
SP,1,36-45,0.04,41906.99
SP,0,NA,0.01,78374
SP,1,>55,4.15,53275.97
SP,1,>55,1.47,19752.7
SP,1,46-55,28.21,28472.84
SP,1,>55,0.83,8641.68
SP,1,36-45,0.5,26054.99
SP,1,>55,0.5,7363
SP,1,46-55,12.48,10278.07
SP,1,46-55,0.5,23839.75
SP,1,46-55,53.25,16036
SP,1,18-25,1.19,19950.63
SP,1,36-45,0.5,103166
SP,1,>55,3.44,17322.13
SP,0,36-45,1,82749
SP,0,>55,0.5,23815.99
SP,1,36-45,0.53,17823.46
SP,1,>55,8.92,44984.28
SP,0,NA,0.99,2623.75
SP,1,36-45,0.5,43572.69
SP,1,>55,0.96,26575.21
SP,0,NA,0.56,14805.38
SP,NA,NA,2.9,11178.6
SP,1,26-35,1.19,17253.35
SP,0,26-35,0.5,24717.99
SP,1,18-25,3.02,20703.72
SP,1,46-55,0.26,15803.99
SP,1,26-35,2.43,15516.48
SP,1,26-35,12.71,34159.58
SP,1,>55,21.36,36487.52
SP,1,46-55,2.33,9110.11
SP,1,46-55,0.19,44520.99
SP,1,>55,2.97,31797.98
SP,NA,26-35,0.5,58112.22
SP,0,NA,0.5,8983.57
SP,1,26-35,0.27,29572.99
SP,1,36-45,0.16,95756
SP,1,36-45,0.5,56589
SP,1,26-35,0.63,36823.83
SP,1,26-35,0.73,75796.94
SP,0,18-25,0.25,0
SP,0,>55,0.45,46149.99
SP,1,46-55,1.04,17244.66
SP,1,36-45,1.25,165830.86
SP,1,26-35,0.5,16287.99
SP,NA,36-45,0.32,107861
SP,0,46-55,1.01,41539.04
SP,1,>55,0.26,20095.99
SP,0,>55,0.5,29381.99
SP,1,>55,1,38331.03
SP,0,NA,0.32,25061.99
SP,0,NA,0.58,31460.4
SP,0,18-25,0.47,21345.8
SP,1,26-35,0.06,75000
SP,0,26-35,2.62,57729.31
SP,1,18-25,1.03,27921.35
TO,1,36-45,2.01,53450.69
SP,1,46-55,0.48,33440
SP,0,NA,0.86,24394.9
SP,1,36-45,1.31,52696.8
SP,1,36-45,54.41,7760.65
TO,1,26-35,0.18,45247.99
SP,1,46-55,3.14,16803.75
SP,1,36-45,1,55859.49
SP,1,46-55,111.98,23362.5
SP,1,46-55,0.5,17416
SP,1,36-45,0.3,0
SP,1,18-25,1.06,34680.43
SP,1,36-45,0.5,38494.7
SP,1,36-45,1.09,28636.24
SP,1,18-25,12.38,29570.12
SP,1,>55,1.45,70510.68
SP,0,NA,1.11,9093.06
SP,1,18-25,6.84,11201.88
SP,0,>55,1.25,85220.69
SP,1,26-35,0.73,93710.14
SP,0,46-55,2.42,21435.36
SP,0,NA,4.26,48508.74
SP,1,>55,0.68,14276.66
SP,1,36-45,1.24,44176.36
SP,1,36-45,0.48,24004.84
SP,1,26-35,2.09,40363.76
SP,1,36-45,9.13,16824.6
SP,1,46-55,0.5,12283.01
SP,1,18-25,1,106434
SP,NA,36-45,0.75,23819.16
SP,0,NA,0.5,10699.99
SP,0,18-25,0.5,15754.99
SP,1,46-55,2.43,20332.92
SP,1,36-45,0.3,49161.99
SP,1,36-45,1.95,9897.23
SP,1,18-25,0.53,17102.94
SP,1,26-35,0.5,33022.29
SP,1,36-45,14.83,24558.38
SP,0,18-25,0.63,45575.43
SP,1,26-35,0.5,0
SP,0,NA,7.46,14579.55
SP,1,46-55,5.55,64103.76
